#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr1-599	chr1	152766374	152766874	+	196.3	0.722	534.5	85.05	0.0	1.08
chr11-932	chr11	93995598	93996098	+	196.2	0.574	480.5	30.22	0.0	1.2
chr14-294	chr14	33250120	33250620	+	196.2	0.767	554.0	13.09	0.0	1.03
chr11-3507	chr11	98907478	98907978	+	196.2	0.797	150.5	27.35	0.0	1.41
chr11-566	chr11	88570541	88571041	+	196.2	0.674	601.5	18.33	0.0	0.96
chr9-2971	chr9	122378944	122379444	+	196.2	0.762	125.5	123.0	0.0	1.34
chr8-480	chr8	39005650	39006150	+	196.1	0.705	570.0	76.24	0.0	1.1
chr19-243	chr19	38004141	38004641	+	196.1	0.632	601.0	15.39	0.0	0.97
chr17-1925	chr17	24251224	24251724	+	196.1	0.738	158.0	48.61	0.0	1.39
chr12-362	chr12	76837446	76837946	+	196.1	0.747	539.0	168.64	0.0	1.08
chr11-5283	chr11	43919459	43919959	+	196.1	0.659	90.5	13.96	0.0	1.48
chr9-746	chr9	63132734	63133234	+	196.1	0.787	440.5	46.89	0.0	1.47
chr8-501	chr8	84760839	84761339	+	196.1	0.724	555.5	6.8	0.0	1.08
chr8-384	chr8	117395097	117395597	+	196.1	0.696	625.5	42.05	0.0	0.91
chr8-436	chr8	26336073	26336573	+	196.1	0.657	595.0	84.77	0.0	0.97
chr8-674	chr8	13668309	13668809	+	196.1	0.776	477.5	10.3	0.0	1.26
chr5-508	chr5	91082976	91083476	+	196.1	0.775	533.5	39.76	0.0	1.13
chr4-543	chr4	118016229	118016729	+	196.1	0.533	549.5	10.5	0.0	1.1
chr4-596	chr4	86683608	86684108	+	196.1	0.7	528.0	40.41	0.0	1.11
chr3-318	chr3	145473989	145474489	+	196.1	0.726	593.0	137.59	0.0	1.0
chr2-513	chr2	108236403	108236903	+	196.1	0.716	576.0	238.67	0.0	0.98
chr9-1841	chr9	88858747	88859247	+	196.0	0.794	215.0	334.23	0.0	1.18
chr13-294	chr13	101879794	101880294	+	196.0	0.632	572.5	136.8	0.0	1.03
chr11-815	chr11	69260090	69260590	+	196.0	0.771	519.0	31.7	0.0	1.18
chr10-414	chr10	60816782	60817282	+	196.0	0.742	549.0	9.38	0.0	1.09
chr7-450	chr7	144282561	144283061	+	196.0	0.695	538.5	114.7	0.0	1.11
chr6-302	chr6	121017636	121018136	+	196.0	0.698	605.0	104.32	0.0	0.97
chr3-340	chr3	68495237	68495737	+	196.0	0.644	574.0	19.2	0.0	1.01
chr1-540	chr1	64617021	64617521	+	196.0	0.662	557.0	26.0	0.0	1.08
chr7-461	chr7	127708479	127708979	+	195.8	0.526	532.0	34.06	0.0	1.08
chr16-391	chr16	5254249	5254749	+	195.8	0.785	455.5	25.58	0.0	1.33
chr15-505	chr15	38452566	38453066	+	195.8	0.767	583.0	6.65	0.0	1.0
chr11-741	chr11	69900816	69901316	+	195.8	0.598	544.0	7.66	0.0	1.12
chr10-1222	chr10	100160942	100161442	+	195.8	0.761	280.5	189.73	0.0	1.14
chr10-405	chr10	67912421	67912921	+	195.8	0.772	553.5	37.78	0.0	1.06
chr19-301	chr19	6057610	6058110	+	195.8	0.746	535.5	23.31	0.0	1.12
chr6-382	chr6	48593606	48594106	+	195.8	0.67	561.0	31.04	0.0	1.05
chr2-484	chr2	117010088	117010588	+	195.8	0.711	589.0	41.2	0.0	0.97
chr2-629	chr2	29890147	29890647	+	195.8	0.611	528.5	24.47	0.0	1.14
chr2-1985	chr2	3423807	3424307	+	195.8	0.76	257.0	100.25	0.0	1.14
chr1-439	chr1	34010932	34011432	+	195.8	0.696	603.0	55.48	0.0	0.96
chr4-539	chr4	155812135	155812635	+	195.8	0.747	551.5	42.38	0.0	1.07
chr10-409	chr10	69185818	69186318	+	195.7	0.674	551.5	37.95	0.0	1.09
chr14-369	chr14	20546014	20546514	+	195.7	0.596	505.5	105.51	0.0	1.15
chr11-610	chr11	116108692	116109192	+	195.7	0.724	585.0	15.9	0.0	1.0
chr11-575	chr11	80949031	80949531	+	195.7	0.738	598.5	235.05	0.0	0.97
chr14-392	chr14	25750563	25751063	+	195.7	0.792	488.5	12.56	0.0	1.22
chr10-472	chr10	67003159	67003659	+	195.7	0.687	513.0	34.92	0.0	1.17
chr6-319	chr6	125161193	125161693	+	195.7	0.658	597.0	15.48	0.0	0.96
chr6-405	chr6	52825473	52825973	+	195.7	0.741	550.5	22.87	0.0	1.07
chr7-312	chr7	99385887	99386387	+	195.7	0.72	614.5	23.66	0.0	0.92
chr6-467	chr6	137558829	137559329	+	195.6	0.757	516.0	20.19	0.0	1.15
chr15-580	chr15	28081142	28081642	+	195.6	0.773	549.0	139.79	0.0	1.1
chr11-654	chr11	117239562	117240062	+	195.6	0.726	572.0	9.18	0.0	1.04
chr9-472	chr9	63678041	63678541	+	195.6	0.748	548.0	15.51	0.0	1.09
chr4-597	chr4	137593883	137594383	+	195.6	0.709	527.0	69.31	0.0	1.1
chr3-351	chr3	65603451	65603951	+	195.6	0.71	567.5	117.19	0.0	1.05
chr3-962	chr3	41290539	41291039	+	195.6	0.695	339.0	28.36	0.0	1.04
chr1-556	chr1	191821177	191821677	+	195.6	0.751	552.5	64.63	0.0	1.11
chr8-547	chr8	84257065	84257565	+	195.5	0.708	529.0	10.66	0.0	1.09
chr19-244	chr19	5841546	5842046	+	195.5	0.598	600.5	4.15	2.47e-233	0.96
chr18-250	chr18	24020158	24020658	+	195.5	0.709	570.5	122.64	0.0	1.1
chr14-1593	chr14	74731983	74732483	+	195.5	0.727	146.5	62.53	0.0	1.33
chr13-352	chr13	49322109	49322609	+	195.5	0.707	532.5	11.72	0.0	1.12
chr9-446	chr9	58500790	58501290	+	195.5	0.742	557.5	58.02	0.0	1.08
chr1-551	chr1	73118579	73119079	+	195.5	0.734	554.5	130.83	0.0	1.04
chr7-492	chr7	39552526	39553026	+	195.5	0.72	514.5	101.08	0.0	1.13
chr7-342	chr7	30090284	30090784	+	195.5	0.713	593.0	40.16	0.0	0.98
chr5-650	chr5	104380537	104381037	+	195.5	0.784	485.5	36.07	0.0	1.28
chr2-547	chr2	50296537	50297037	+	195.5	0.708	563.5	162.77	0.0	1.07
chr2-1935	chr2	28244512	28245012	+	195.5	0.653	263.0	24.93	0.0	1.11
chr1-508	chr1	171375613	171376113	+	195.4	0.692	574.5	74.78	0.0	1.0
chr9-478	chr9	33241181	33241681	+	195.4	0.685	544.5	65.11	0.0	1.11
chr11-803	chr11	74724160	74724660	+	195.4	0.709	522.5	76.14	0.0	1.14
chr11-1022	chr11	101627526	101628026	+	195.4	0.586	459.0	16.83	0.0	1.14
chr15-625	chr15	57975803	57976303	+	195.4	0.696	530.0	59.33	0.0	1.09
chr17-501	chr17	75275243	75275743	+	195.4	0.755	514.5	21.02	0.0	1.15
chr19-1408	chr19	56373985	56374485	+	195.4	0.697	162.5	31.84	0.0	1.23
chr15-579	chr15	99701920	99702420	+	195.2	0.717	549.5	16.05	0.0	1.06
chr8-1071	chr8	126686844	126687344	+	195.2	0.744	358.0	21.79	0.0	1.08
chr15-502	chr15	25915022	25915522	+	195.2	0.711	586.0	20.59	0.0	1.02
chr11-836	chr11	121354190	121354690	+	195.2	0.761	511.0	128.76	0.0	1.13
chr1-2632	chr1	133296361	133296861	+	195.2	0.751	182.0	44.98	0.0	1.21
chr7-423	chr7	43313056	43313556	+	195.2	0.733	547.5	259.83	0.0	1.08
chr1-645	chr1	92202627	92203127	+	195.2	0.74	517.5	13.75	0.0	1.11
chr5-389	chr5	53948464	53948964	+	195.2	0.716	595.5	77.17	0.0	0.97
chr3-381	chr3	85952679	85953179	+	195.2	0.76	550.0	44.65	0.0	1.05
chr1-617	chr1	58504761	58505261	+	195.1	0.781	526.5	171.8	0.0	1.15
chr2-718	chr2	164822707	164823207	+	195.1	0.771	497.0	28.59	0.0	1.25
chr5-576	chr5	139789497	139789997	+	195.1	0.789	512.0	15.66	0.0	1.18
chr8-572	chr8	47990362	47990862	+	195.1	0.579	519.5	38.83	0.0	1.15
chr8-419	chr8	106210715	106211215	+	195.1	0.716	602.0	91.14	0.0	0.96
chr11-804	chr11	88164592	88165092	+	195.1	0.638	522.5	9.63	0.0	1.14
chr11-673	chr11	97428033	97428533	+	195.1	0.735	566.0	8.97	0.0	1.04
chr13-288	chr13	3746436	3746936	+	195.1	0.725	577.5	41.49	0.0	1.01
chr13-343	chr13	108603472	108603972	+	195.1	0.77	538.5	85.34	0.0	1.1
chr15-2816	chr15	3587808	3588308	+	195.1	0.709	135.0	42.52	0.0	1.43
chrX-67	chrX	133911556	133912056	+	195.1	0.688	590.5	142.96	0.0	0.98
chr11-645	chr11	77491310	77491810	+	195.1	0.633	574.0	16.58	0.0	1.02
chr15-867	chr15	81856012	81856512	+	195.0	0.83	435.0	13.6	0.0	1.45
chr19-3625	chr19	46499685	46500185	+	195.0	0.775	50.5	7.95	0.0	1.53
chr18-291	chr18	40219239	40219739	+	195.0	0.761	536.5	311.0	0.0	1.11
chr16-300	chr16	94313079	94313579	+	195.0	0.686	518.0	43.55	0.0	1.16
chr7-441	chr7	144282561	144283061	+	195.0	0.694	541.0	113.23	0.0	1.11
chr2-4995	chr2	157170106	157170606	+	195.0	0.699	93.5	63.04	0.0	1.45
chr4-484	chr4	150269378	150269878	+	195.0	0.649	579.0	15.14	0.0	0.98
chr8-590	chr8	47990830	47991330	+	194.9	0.499	510.0	38.75	0.0	1.18
chr19-309	chr19	58432838	58433338	+	194.9	0.773	531.0	22.85	0.0	1.13
chr19-304	chr19	5118166	5118666	+	194.9	0.711	533.0	39.74	0.0	1.1
chr18-282	chr18	80255953	80256453	+	194.9	0.682	546.5	43.94	0.0	1.07
chr17-510	chr17	56040034	56040534	+	194.9	0.832	508.5	19.7	0.0	1.16
chr10-301	chr10	75827671	75828171	+	194.9	0.696	629.0	51.82	0.0	0.9
chr8-841	chr8	84815502	84816002	+	194.9	0.77	414.5	14.7	0.0	1.48
chr7-363	chr7	97579430	97579930	+	194.9	0.717	579.0	136.15	0.0	0.98
chr6-481	chr6	25809107	25809607	+	194.9	0.776	510.5	398.49	0.0	1.24
chr4-2206	chr4	116220968	116221468	+	194.9	0.743	194.0	42.45	0.0	1.31
chr4-488	chr4	15265415	15265915	+	194.9	0.697	577.5	73.21	0.0	1.05
chr2-762	chr2	26408970	26409470	+	194.9	0.779	485.0	75.48	0.0	1.26
chr1-510	chr1	135636010	135636510	+	194.9	0.683	573.5	28.95	0.0	1.04
chr6-2405	chr6	39013492	39013992	+	194.7	0.769	144.0	41.34	0.0	1.33
chr15-616	chr15	87659624	87660124	+	194.7	0.737	533.0	12.18	0.0	1.11
chr12-4082	chr12	71830740	71831240	+	194.7	0.744	53.0	56.32	0.0	1.9
chr10-428	chr10	68136437	68136937	+	194.7	0.793	538.0	64.93	0.0	1.14
chr1-1890	chr1	93685349	93685849	+	194.7	0.752	250.5	24.32	0.0	1.23
chr3-418	chr3	121395526	121396026	+	194.7	0.691	531.5	30.51	0.0	1.08
chr2-3984	chr2	25983147	25983647	+	194.7	0.666	119.5	23.39	0.0	1.63
chr1-525	chr1	170912218	170912718	+	194.7	0.727	564.0	113.01	0.0	1.03
chr2-783	chr2	91963473	91963973	+	194.7	0.789	479.0	26.78	0.0	1.28
chr9-460	chr9	21955493	21955993	+	194.6	0.66	552.0	29.26	0.0	1.17
chr19-257	chr19	4793710	4794210	+	194.6	0.694	577.0	25.89	0.0	1.07
chr11-703	chr11	97285959	97286459	+	194.6	0.755	556.0	22.85	0.0	1.05
chr11-789	chr11	6267600	6268100	+	194.6	0.762	528.5	26.32	0.0	1.14
chr10-491	chr10	127311527	127312027	+	194.6	0.692	507.5	16.8	0.0	1.17
chr10-500	chr10	75930259	75930759	+	194.6	0.742	503.5	35.31	0.0	1.2
chr17-410	chr17	15826397	15826897	+	194.6	0.697	564.5	86.44	0.0	1.04
chr8-474	chr8	13614897	13615397	+	194.6	0.737	573.0	20.76	0.0	1.0
chr5-442	chr5	123523982	123524482	+	194.6	0.744	563.5	102.14	0.0	1.04
chr2-578	chr2	32362861	32363361	+	194.6	0.726	550.5	11.31	0.0	1.05
chr2-539	chr2	25365389	25365889	+	194.6	0.74	567.0	42.91	0.0	1.05
chr2-1828	chr2	27858481	27858981	+	194.6	0.762	276.5	11.38	0.0	1.16
chr6-2229	chr6	72362256	72362756	+	194.6	0.749	156.0	11.24	0.0	1.34
chr6-362	chr6	108668239	108668739	+	194.5	0.756	573.0	13.35	0.0	0.99
chr17-489	chr17	83861674	83862174	+	194.5	0.678	521.5	45.27	0.0	1.12
chr9-588	chr9	107770804	107771304	+	194.5	0.764	500.0	214.84	0.0	1.23
chr8-523	chr8	95243268	95243768	+	194.5	0.776	542.0	27.6	0.0	1.1
chr5-529	chr5	41419084	41419584	+	194.5	0.771	525.0	242.56	0.0	1.13
chr1-567	chr1	184051764	184052264	+	194.5	0.696	548.5	12.36	0.0	1.07
chr1-502	chr1	81671077	81671577	+	194.5	0.756	576.0	250.25	0.0	1.02
chr1-615	chr1	72969356	72969856	+	194.5	0.746	528.0	16.86	0.0	1.13
chr7-437	chr7	43579372	43579872	+	194.4	0.696	542.0	63.55	0.0	1.12
chr8-568	chr8	126594269	126594769	+	194.4	0.616	520.5	8.08	0.0	1.13
chr8-586	chr8	95888212	95888712	+	194.4	0.612	512.0	65.64	0.0	1.16
chr8-427	chr8	45579626	45580126	+	194.4	0.722	599.0	44.92	0.0	0.98
chr8-1108	chr8	13695003	13695503	+	194.4	0.621	349.0	11.05	0.0	1.03
chr13-495	chr13	89828388	89828888	+	194.4	0.826	460.5	326.72	0.0	1.35
chr5-2606	chr5	138170937	138171437	+	194.4	0.757	157.5	18.25	0.0	1.3
chr5-515	chr5	66058783	66059283	+	194.4	0.768	531.5	40.04	0.0	1.13
chr4-565	chr4	95416979	95417479	+	194.4	0.757	540.0	82.23	0.0	1.1
chr2-540	chr2	157447743	157448243	+	194.4	0.593	567.0	21.35	0.0	1.08
chr2-465	chr2	33760595	33761095	+	194.4	0.701	596.5	18.62	0.0	0.98
chr5-418	chr5	137072048	137072548	+	194.4	0.672	573.5	13.46	0.0	1.01
chr10-497	chr10	105840896	105841396	+	194.3	0.759	505.5	260.67	0.0	1.19
chr18-273	chr18	57981496	57981996	+	194.3	0.728	551.0	269.12	0.0	1.03
chr14-296	chr14	120832215	120832715	+	194.3	0.68	553.5	76.08	0.0	1.06
chr11-831	chr11	87309598	87310098	+	194.3	0.727	513.0	78.03	0.0	1.14
chr8-4104	chr8	78544516	78545016	+	194.3	0.692	80.0	72.94	0.0	1.48
chr9-450	chr9	44734021	44734521	+	194.3	0.656	556.5	19.0	0.0	1.03
chr7-483	chr7	24530288	24530788	+	194.3	0.745	518.5	31.91	0.0	1.15
chr4-620	chr4	132211991	132212491	+	194.3	0.785	515.5	151.06	0.0	1.17
chr11-699	chr11	73036828	73037328	+	194.1	0.739	557.0	21.23	0.0	1.07
chr16-220	chr16	44951670	44952170	+	194.1	0.663	592.0	207.93	0.0	0.98
chr12-389	chr12	54874718	54875218	+	194.1	0.787	523.5	43.62	0.0	1.14
chrX-83	chrX	12346854	12347354	+	194.1	0.669	538.5	62.87	0.0	1.06
chr11-748	chr11	57689816	57690316	+	194.1	0.711	541.0	17.72	0.0	1.08
chr5-590	chr5	135009128	135009628	+	194.1	0.666	506.5	12.72	0.0	1.13
chr1-643	chr1	23383161	23383661	+	194.1	0.747	518.0	267.13	0.0	1.14
chr7-452	chr7	16912870	16913370	+	194.1	0.703	537.0	18.45	0.0	1.06
chr1-531	chr1	59912694	59913194	+	194.0	0.75	561.5	65.17	0.0	1.06
chr2-697	chr2	168524809	168525309	+	194.0	0.78	504.0	12.61	0.0	1.16
chr5-403	chr5	146776931	146777431	+	194.0	0.735	587.0	34.71	0.0	0.99
chr6-380	chr6	29436421	29436921	+	194.0	0.735	562.5	21.98	0.0	1.07
chr6-274	chr6	84385545	84386045	+	194.0	0.72	621.5	32.11	0.0	0.93
chr7-491	chr7	123110073	123110573	+	194.0	0.747	516.0	55.4	0.0	1.18
chr11-821	chr11	59655338	59655838	+	194.0	0.728	516.5	17.19	0.0	1.2
chr15-606	chr15	83224050	83224550	+	193.9	0.527	539.5	12.88	0.0	1.07
chr18-2889	chr18	42511088	42511588	+	193.9	0.692	67.5	52.51	0.0	1.53
chr17-513	chr17	48001875	48002375	+	193.9	0.771	507.5	191.73	0.0	1.2
chr17-917	chr17	14942903	14943403	+	193.9	0.759	350.0	156.63	0.0	1.13
chr2-493	chr2	167774721	167775221	+	193.9	0.664	586.0	7.52	0.0	0.98
chr14-352	chr14	105897098	105897598	+	193.9	0.769	514.0	49.84	0.0	1.19
chr8-490	chr8	3220946	3221446	+	193.9	0.752	562.0	232.86	0.0	1.1
chr3-360	chr3	40745096	40745596	+	193.9	0.626	560.0	58.78	0.0	1.03
chr2-744	chr2	92741967	92742467	+	193.9	0.746	491.5	16.48	0.0	1.2
chr6-357	chr6	114414469	114414969	+	193.8	0.694	574.0	15.9	0.0	0.99
chr14-325	chr14	55884699	55885199	+	193.8	0.798	527.0	53.51	0.0	1.13
chr8-1081	chr8	71367257	71367757	+	193.8	0.733	356.0	19.68	0.0	1.16
chr6-496	chr6	125426353	125426853	+	193.8	0.798	505.0	13.64	0.0	1.16
chrX-101	chrX	164013331	164013831	+	193.8	0.699	511.5	66.88	0.0	1.14
chr4-668	chr4	150914346	150914846	+	193.8	0.75	494.0	24.33	0.0	1.23
chr2-2141	chr2	75658779	75659279	+	193.8	0.703	237.0	21.97	0.0	1.27
chr2-728	chr2	30487528	30488028	+	193.8	0.761	495.0	15.91	0.0	1.25
chr4-3503	chr4	41124112	41124612	+	193.8	0.778	113.0	40.64	0.0	1.52
chr2-1212	chr2	32527582	32528082	+	193.6	0.707	377.0	24.88	0.0	1.05
chr6-1426	chr6	71493562	71494062	+	193.6	0.688	249.5	119.64	0.0	1.2
chr7-392	chr7	64276863	64277363	+	193.6	0.781	563.0	51.01	0.0	1.04
chr15-2407	chr15	38391375	38391875	+	193.6	0.755	161.5	24.86	0.0	1.24
chr15-719	chr15	98992906	98993406	+	193.6	0.693	493.5	19.02	0.0	1.24
chr16-248	chr16	17561053	17561553	+	193.6	0.625	564.0	19.67	0.0	1.06
chr11-3481	chr11	120098567	120099067	+	193.5	0.685	152.5	22.3	0.0	1.49
chr17-2009	chr17	71264570	71265070	+	193.5	0.734	150.5	16.58	0.0	1.18
chr17-557	chr17	23563981	23564481	+	193.5	0.741	489.5	17.61	0.0	1.16
chr15-639	chr15	80098759	80099259	+	193.5	0.761	526.5	17.24	0.0	1.14
chr7-389	chr7	27231692	27232192	+	193.5	0.705	564.5	47.91	0.0	1.02
chr9-346	chr9	102650594	102651094	+	193.5	0.599	614.0	10.57	0.0	0.95
chr9-493	chr9	57521010	57521510	+	193.5	0.741	537.5	45.69	0.0	1.13
chr4-514	chr4	125131400	125131900	+	193.5	0.765	562.5	18.54	0.0	1.02
chr4-553	chr4	95105838	95106338	+	193.5	0.673	545.5	20.55	0.0	1.06
chr5-412	chr5	119467308	119467808	+	193.4	0.727	577.5	72.62	0.0	1.03
chr18-245	chr18	67469630	67470130	+	193.4	0.749	574.0	29.64	0.0	1.02
chr12-306	chr12	84795203	84795703	+	193.4	0.472	575.5	9.14	0.0	0.98
chr12-364	chr12	52950664	52951164	+	193.4	0.769	538.0	362.62	0.0	1.08
chr5-419	chr5	142959111	142959611	+	193.4	0.671	573.0	13.74	0.0	1.02
chr5-445	chr5	86803992	86804492	+	193.4	0.739	562.5	241.93	0.0	1.05
chr4-584	chr4	47474102	47474602	+	193.4	0.69	534.0	131.06	0.0	1.11
chr4-660	chr4	25645519	25646019	+	193.4	0.793	497.5	72.42	0.0	1.2
chr3-444	chr3	84696442	84696942	+	193.4	0.722	519.5	45.9	0.0	1.12
chr2-553	chr2	90641327	90641827	+	193.4	0.684	559.5	127.34	0.0	1.03
chr10-1110	chr10	13832739	13833239	+	193.3	0.711	301.0	82.59	0.0	1.1
chr16-278	chr16	94312518	94313018	+	193.3	0.632	538.0	43.06	0.0	1.08
chr15-660	chr15	99431925	99432425	+	193.3	0.73	516.0	24.41	0.0	1.16
chr11-749	chr11	88524606	88525106	+	193.3	0.725	541.0	50.28	0.0	1.06
chr10-560	chr10	80142044	80142544	+	193.3	0.808	471.0	4.23	1.6800000000000002e-235	1.27
chr7-435	chr7	134263479	134263979	+	193.3	0.682	543.0	27.88	0.0	1.09
chr9-430	chr9	63657033	63657533	+	193.3	0.723	566.5	23.67	0.0	1.04
chr6-494	chr6	86365289	86365789	+	193.3	0.732	505.0	38.58	0.0	1.19
chr4-503	chr4	102570164	102570664	+	193.3	0.665	570.0	48.85	0.0	1.02
chr4-556	chr4	46507179	46507679	+	193.3	0.76	544.5	44.24	0.0	1.1
chr3-443	chr3	19187938	19188438	+	193.3	0.751	520.0	77.37	0.0	1.1
chr14-326	chr14	63962648	63963148	+	193.2	0.786	527.0	63.67	0.0	1.09
chr13-4096	chr13	64161519	64162019	+	193.2	0.768	67.5	15.4	0.0	1.59
chr11-692	chr11	56374372	56374872	+	193.2	0.684	559.0	93.79	0.0	1.05
chr16-617	chr16	10411954	10412454	+	193.2	0.723	353.5	111.06	0.0	1.25
chrUn_GL456359-1	chrUn_GL456359	19335	19835	+	193.2	0.694	523.0	72.94	0.0	1.24
chr13-290	chr13	31166375	31166875	+	193.2	0.71	576.0	51.79	0.0	1.03
chr1-563	chr1	171503314	171503814	+	193.2	0.573	550.0	30.1	0.0	1.08
chr10-4205	chr10	85639507	85640007	+	193.2	0.697	74.0	38.9	0.0	1.5
chr4-532	chr4	15265415	15265915	+	193.2	0.702	554.0	72.13	0.0	1.06
chr3-399	chr3	37370325	37370825	+	193.2	0.716	538.0	42.13	0.0	1.1
chr2-591	chr2	120980779	120981279	+	193.2	0.754	547.0	67.25	0.0	1.07
chr8-510	chr8	69012543	69013043	+	193.2	0.775	550.0	135.19	0.0	1.08
chr10-372	chr10	67185421	67185921	+	193.0	0.729	574.5	143.65	0.0	1.06
chr17-415	chr17	56507557	56508057	+	193.0	0.602	561.5	25.3	0.0	1.03
chr16-251	chr16	57427436	57427936	+	193.0	0.695	561.5	32.71	0.0	1.05
chr15-1614	chr15	76327196	76327696	+	193.0	0.753	254.0	13.18	0.0	1.22
chr11-842	chr11	121651830	121652330	+	193.0	0.744	508.5	16.08	0.0	1.19
chr10-519	chr10	111472885	111473385	+	193.0	0.763	492.5	148.97	0.0	1.19
chr17-3834	chr17	56078851	56079351	+	193.0	0.659	69.0	9.45	0.0	1.81
chr9-564	chr9	123809557	123810057	+	193.0	0.74	509.0	20.13	0.0	1.15
chr9-2249	chr9	61377567	61378067	+	193.0	0.734	171.0	18.06	0.0	1.25
chr9-524	chr9	34993740	34994240	+	193.0	0.761	527.0	35.92	0.0	1.13
chr8-467	chr8	91999153	91999653	+	193.0	0.623	578.5	26.32	0.0	1.01
chr8-539	chr8	78820828	78821328	+	193.0	0.766	532.0	50.18	0.0	1.1
chr1-462	chr1	106401207	106401707	+	193.0	0.633	596.0	48.5	0.0	0.99
chr9-477	chr9	96195952	96196452	+	193.0	0.714	545.0	88.59	0.0	1.06
chr15-624	chr15	37898788	37899288	+	192.9	0.721	530.0	43.63	0.0	1.09
chr19-298	chr19	53482585	53483085	+	192.9	0.744	540.0	30.12	0.0	1.09
chr18-308	chr18	60502260	60502760	+	192.9	0.725	521.0	16.27	0.0	1.17
chr17-1879	chr17	74869525	74870025	+	192.9	0.66	164.0	13.66	0.0	1.32
chr15-691	chr15	77397804	77398304	+	192.9	0.814	503.0	41.1	0.0	1.17
chr13-253	chr13	9239558	9240058	+	192.9	0.68	604.0	181.69	0.0	0.95
chr11-807	chr11	98788834	98789334	+	192.9	0.758	521.5	5.28	1.4e-295	1.17
chr7-485	chr7	134114786	134115286	+	192.9	0.617	518.5	27.22	0.0	1.14
chr5-449	chr5	131813428	131813928	+	192.9	0.716	561.0	71.68	0.0	1.04
chr2-673	chr2	71388922	71389422	+	192.9	0.806	512.0	36.25	0.0	1.2
chr9-505	chr9	62353702	62354202	+	192.8	0.762	534.5	30.02	0.0	1.12
chrX-97	chrX	101332355	101332855	+	192.8	0.77	519.5	175.08	0.0	1.14
chr14-270	chr14	55714940	55715440	+	192.8	0.68	580.0	27.97	0.0	1.02
chr14-346	chr14	34588540	34589040	+	192.8	0.728	515.0	32.68	0.0	1.19
chr11-563	chr11	95009035	95009535	+	192.8	0.594	604.0	22.72	0.0	0.92
chr9-349	chr9	102650594	102651094	+	192.8	0.615	610.0	10.54	0.0	0.94
chr8-544	chr8	87472495	87472995	+	192.8	0.731	530.0	18.23	0.0	1.12
chr7-408	chr7	45802501	45803001	+	192.8	0.732	555.5	19.77	0.0	1.04
chr3-363	chr3	81917513	81918013	+	192.8	0.708	559.5	51.37	0.0	1.08
chr3-368	chr3	68508614	68509114	+	192.8	0.738	556.0	18.18	0.0	1.05
chr3-398	chr3	32529212	32529712	+	192.8	0.777	538.0	30.7	0.0	1.08
chr2-3690	chr2	152903542	152904042	+	192.8	0.679	131.5	6.68	0.0	1.28
chr5-381	chr5	111205013	111205513	+	192.7	0.69	599.0	17.53	0.0	0.96
chr5-497	chr5	149377112	149377612	+	192.7	0.734	537.5	18.33	0.0	1.09
chr12-369	chr12	54695620	54696120	+	192.7	0.701	536.5	34.65	0.0	1.07
chr13-365	chr13	32338539	32339039	+	192.7	0.705	525.5	242.14	0.0	1.11
chr13-340	chr13	116828950	116829450	+	192.7	0.698	541.5	236.28	0.0	1.08
chr9-599	chr9	20830764	20831264	+	192.6	0.767	493.5	23.16	0.0	1.18
chr15-650	chr15	81872110	81872610	+	192.6	0.673	520.0	22.22	0.0	1.16
chr11-700	chr11	12434964	12435464	+	192.6	0.723	556.0	86.89	0.0	1.11
chr1-497	chr1	174640944	174641444	+	192.6	0.731	579.0	54.77	0.0	1.04
chr7-327	chr7	145056455	145056955	+	192.6	0.724	607.5	40.04	0.0	0.93
chr3-410	chr3	153957954	153958454	+	192.6	0.731	534.0	20.14	0.0	1.14
chr2-693	chr2	25534157	25534657	+	192.6	0.747	504.5	25.04	0.0	1.19
chr11-670	chr11	70220890	70221390	+	192.4	0.708	567.5	8.38	0.0	1.0
chr19-274	chr19	4121329	4121829	+	192.4	0.727	564.0	10.0	0.0	1.05
chr18-228	chr18	55623976	55624476	+	192.4	0.606	588.0	71.89	0.0	0.99
chr17-503	chr17	6079496	6079996	+	192.4	0.724	513.5	110.17	0.0	1.14
chr3-334	chr3	121723157	121723657	+	192.4	0.712	580.5	63.02	0.0	0.98
chr9-590	chr9	61372089	61372589	+	192.4	0.76	498.0	17.89	0.0	1.15
chr6-411	chr6	95976042	95976542	+	192.4	0.767	546.5	242.96	0.0	1.07
chr1-602	chr1	53784949	53785449	+	192.4	0.789	533.5	83.86	0.0	1.13
chr1-457	chr1	172503496	172503996	+	192.3	0.699	597.0	17.74	0.0	0.96
chr3-408	chr3	95314959	95315459	+	192.3	0.68	534.5	20.06	0.0	1.09
chr6-590	chr6	88075075	88075575	+	192.3	0.762	466.5	89.83	0.0	1.32
chr7-594	chr7	27574030	27574530	+	192.3	0.787	475.0	35.44	0.0	1.27
chr11-922	chr11	11808795	11809295	+	192.3	0.733	482.5	26.51	0.0	1.24
chr11-2314	chr11	62879222	62879722	+	192.3	0.747	243.5	168.78	0.0	1.17
chr13-372	chr13	6613978	6614478	+	192.3	0.766	520.0	57.17	0.0	1.11
chr19-276	chr19	21778065	21778565	+	192.3	0.715	562.0	25.37	0.0	1.03
chr19-291	chr19	37821142	37821642	+	192.3	0.74	548.0	89.78	0.0	1.07
